Rk,School,City State,Start,End,Yrs,G,W,L,W-L%,SRS,SOS,AP,CREG,CTRN,NCAA,FF,NC
310,toledo,Toledo Ohio,1916,2022,107,2632,1518,1114,0.577,1.02,-0.32,2,12,1,4,0,0
311,towson,Towson Maryland,1980,2022,43,1272,544,728,0.428,-7.54,-4.18,0,5,3,2,0,0
312,troy,Troy Alabama,1994,2022,29,869,411,458,0.473,-7.54,-4.93,0,6,2,2,0,0
313,tulane,New Orleans Louisiana,1906,2022,112,2600,1255,1345,0.483,-0.99,1.3,1,6,0,3,0,0
314,tulsa,Tulsa Oklahoma,1914,2022,109,2693,1493,1200,0.554,5.03,3.25,5,11,6,16,0,0
315,alabama-birmingham,Birmingham Alabama,1980,2022,43,1384,869,515,0.628,6.46,2.41,2,7,6,16,0,0
316,california-davis,Davis California,2008,2022,15,454,203,251,0.447,-6.02,-2.75,0,2,1,1,0,0
317,california-irvine,Irvine California,1978,2022,45,1353,680,673,0.503,-1.24,0.17,0,7,2,2,0,0
318,california-riverside,Riverside California,2002,2022,21,617,228,389,0.37,-7.53,-2.09,0,0,0,0,0,0
319,california-san-diego,La Jolla California,2021,2022,2,46,20,26,0.435,-6.99,-1.4,0,0,0,0,0,0
320,california-santa-barbara,Santa Barbara California,1964,2022,59,1675,900,775,0.537,-0.18,-0.12,0,5,4,6,0,0
321,ucla,Los Angeles California,1920,2022,103,2844,1958,886,0.688,15.55,7,42,31,4,51,19,11
322,north-carolina-asheville,Asheville North Carolina,1987,2022,36,1071,515,556,0.481,-9.58,-5.64,0,7,5,4,0,0
323,north-carolina-greensboro,Greensboro North Carolina,1992,2022,31,949,462,487,0.487,-5.92,-4.12,0,7,4,4,0,0
324,north-carolina-wilmington,Wilmington North Carolina,1977,2022,46,1363,706,657,0.518,-2.93,-2.59,0,9,6,6,0,0
325,texas-arlington,Arlington Texas,1969,2022,54,1552,714,838,0.46,-7.9,-4.41,0,3,1,1,0,0
326,utah-state,Logan Utah,1904,2022,117,2819,1667,1152,0.591,4.06,1,5,16,10,22,0,0
327,utah,Salt Lake City Utah,1909,2022,114,2910,1858,1052,0.638,8.16,3.77,21,30,5,29,4,1
328,utah-valley,Orem Utah,2010,2022,13,404,215,189,0.532,-5.4,-4.56,0,3,0,0,0,0
329,texas-el-paso,El Paso Texas,1923,2022,94,2428,1384,1044,0.57,2.68,0.7,4,11,5,17,1,1
330,texas-san-antonio,San Antonio Texas,1982,2022,41,1212,601,611,0.496,-5.9,-4.31,0,3,4,4,0,0
331,valparaiso,Valparaiso Indiana,1918,2022,87,2228,1172,1056,0.526,-4.08,-1.48,0,14,10,9,0,0
332,vanderbilt,Nashville Tennessee,1901,2022,120,2865,1645,1220,0.574,8.29,5.02,11,3,3,15,0,0
333,vermont,Burlington Vermont,1921,2022,67,1826,988,838,0.541,-9.66,-7.12,0,13,8,8,0,0
334,villanova,Villanova Pennsylvania,1921,2022,102,2807,1851,956,0.659,10.49,5.8,26,14,8,41,7,3
335,virginia,Charlottesville Virginia,1906,2022,117,2891,1694,1196,0.586,6.98,5.58,15,11,3,24,3,1
336,virginia-commonwealth,Richmond Virginia,1974,2022,49,1507,977,529,0.649,5.48,0.86,3,11,9,18,1,0
337,virginia-military-institute,Lexington Virginia,1909,2022,114,2520,935,1585,0.371,-12.66,-4.69,1,2,3,3,0,0
338,virginia-tech,Blacksburg Virginia,1909,2022,114,2774,1518,1256,0.547,4.08,1.65,3,2,2,13,0,0
339,wagner,Staten Island New York,1966,2022,50,1427,699,728,0.49,-9.52,-7.45,0,4,1,1,0,0
340,wake-forest,Winston-Salem North Carolina,1906,2022,116,2861,1581,1280,0.553,8.01,6.22,17,4,5,23,1,0
341,washington,Seattle Washington,1896,2022,121,3073,1834,1239,0.597,7.4,6.13,8,12,3,17,1,0
342,washington-state,Pullman Washington,1902,2022,121,3216,1645,1571,0.512,3.17,4.9,3,2,0,6,1,0
343,weber-state,Ogden Utah,1964,2022,59,1736,1089,647,0.627,0.23,-2.67,1,22,10,16,0,0
344,west-virginia,Morgantown West Virginia,1904,2022,113,2964,1827,1137,0.616,7.38,2.86,19,16,13,30,2,0
345,western-carolina,Cullowhee North Carolina,1977,2022,46,1354,591,763,0.436,-8.55,-3.71,0,3,1,1,0,0
346,western-illinois,Macomb Illinois,1982,2022,41,1170,482,688,0.412,-8.66,-3.74,0,2,1,0,0,0
347,western-kentucky,Bowling Green Kentucky,1922,2022,101,2808,1852,956,0.66,3.36,-0.11,11,29,19,23,1,0
348,western-michigan,Kalamazoo Michigan,1914,2022,109,2632,1360,1271,0.517,-2.94,-0.14,1,10,2,4,0,0
